,ident,com,nplanets,massbudget,massefficiency,sigmag0,md,rc,ms,metal,taugas
0,1.0,0.035424185406925685,1.0,79.22743987658878,0.0013204573312764797,158.83555924139276,0.18,40.04019546508789,1.4253864288330078e+33,-0.09279143065214156,3525593.5
1,3.0,1.074297237952276,4.0,10758.305004031197,0.5763377680730999,90.79333656804815,0.055999999999999994,29.539342880249023,1.7602272033691405e+33,0.328145831823349,1644710.625
2,6.0,0.06104291981653764,1.0,2392.571269776024,0.05981428174440061,75.74087794063331,0.12,47.34337997436523,1.7231897115707396e+33,0.021272709593176842,1790533.125
3,7.0,1.3245721125326109,1.0,3988.4471829116437,0.06647411971519407,139.4087765353593,0.18,42.73906326293945,1.6844226121902464e+33,-0.09257139265537262,2721394.75
4,13.0,0.12393668017835878,1.0,2891.237088040514,0.05102183096542084,178.83070031517818,0.17,36.67222213745117,2.4128897190094e+33,-0.17403939366340634,3956707.5
5,15.0,0.5898365736566026,1.0,20219.91387601351,0.5514521966185503,106.82475890119792,0.11,38.16754150390625,1.972005605697632e+33,0.3886128067970276,2435405.5
6,31.0,4.3588146349509875,1.0,23.86220832962772,0.0007456940103008663,86.54608385539488,0.096,39.61372756958008,1.9870986938476563e+33,-0.03150779381394386,1439538.875
7,36.0,0.6024572850353098,1.0,12340.373580471929,0.37021120741415786,54.20182326337026,0.1,51.08893585205078,2.2754931449890137e+33,0.32353711128234863,4464832.0
8,40.0,1.74016014043917,1.0,167.20028376126083,0.006043383750407018,57.69843652192233,0.083,45.11186981201172,2.074223041534424e+33,0.03931472823023796,2374519.75
9,41.0,0.7040357499954207,2.0,20457.23821350481,0.6895698274215106,79.25219092618545,0.08899999999999998,39.85870361328125,1.8829214572906489e+33,0.264231950044632,3180775.75
10,45.0,0.8908057728089861,1.0,4258.164997420843,0.11613177265693209,62.3627063488653,0.11,49.95370101928711,2.7116463184356686e+33,-0.04213515669107437,4216293.5
11,47.0,2.4270473776309265,1.0,3609.448118252816,0.06015746863754694,144.66881223534938,0.18,41.954891204833984,1.4819756746292112e+33,0.02867590636014938,2305969.75
12,53.0,0.16956898402572151,1.0,21756.606648109526,0.38394011731957983,86.08042239210172,0.17,52.8574333190918,1.466697335243225e+33,0.4772234857082367,2702850.75
13,54.0,0.1359711813957158,1.0,3110.33793834073,0.12441351753362924,47.9115642960319,0.07499999999999997,47.05916976928711,2.788093328475952e+33,0.12445628643035887,6763758.5
14,55.0,1.3609234086317692,1.0,10.903150106741013,0.00034431000337076885,48.90630470063704,0.095,52.42195129394531,2.7434802055358887e+33,0.007457501720637083,2610816.25
15,57.0,3.790483743802701,2.0,118.01714325735753,0.003726857155495501,42.84224520321804,0.095,56.00921630859375,2.1246776580810543e+33,0.19387945532798767,2539950.25
16,60.0,0.05145779136116136,1.0,236.57625971931287,0.004731525194386258,89.07235309999393,0.15,48.80990600585938,1.7152870893478394e+33,0.1049892008304596,7005573.0
17,63.0,3.296004259324892,1.0,2285.3268961422964,0.036084108886457314,77.83337535548301,0.19,58.76620864868164,1.4450364112854002e+33,-0.036190528422594084,1215238.75
18,65.0,5.051975751638236,1.0,276.93959797160863,0.006390913799344814,152.16316903257626,0.13,34.76567840576172,1.9010305404663085e+33,0.1536606103181839,1759761.125
19,70.0,4.911797202674491,1.0,21.380089436845793,0.0003563348239474299,113.75062599737949,0.18,47.31438064575195,2.4922411441802972e+33,-0.2762344181537628,1161630.0
20,76.0,2.9120922072824866,3.0,665.4057418856521,0.04158785886785326,36.81551384656851,0.048,42.947608947753906,2.0966873168945312e+33,0.4394732415676117,1118237.75
21,78.0,0.4597602076284069,1.0,206.9595092779573,0.0032677817254414313,125.78098827917977,0.19,46.22778701782226,2.2154946327209469e+33,0.1440599262714386,4830846.0
22,85.0,0.05288123903374205,1.0,5504.3461386319605,0.18146196061424044,41.84320163538436,0.091,55.46794128417969,1.7395153045654297e+33,0.2311317026615143,4644380.5
23,91.0,0.08373488238653641,1.0,12914.418372490873,0.298025039365174,104.16770087397116,0.13,42.01834487915039,2.1874783039093018e+33,-0.11799459904432295,2969076.0
24,93.0,0.046977354950528884,1.0,19557.238495665806,0.41908368204998153,123.90597714834972,0.14,39.98081970214844,1.575602889060974e+33,0.08858268707990646,4158435.0
25,94.0,0.22435068865818258,2.0,30360.35134851204,0.506005855808534,99.12142258056221,0.18,50.68579864501953,2.579477787017822e+33,0.09010720998048782,2733797.25
26,101.0,4.690924940040593,1.0,19.21990316935365,0.0008479369045303078,67.86498127130538,0.06800000000000002,37.6500358581543,2.6461327075958246e+33,0.5345776677131653,5407527.5
27,120.0,0.048621456758169805,1.0,1131.5423582535311,0.01885903930422552,93.39452897154129,0.18,52.21669006347656,1.5940681695938109e+33,0.046802662312984473,4544484.5
28,124.0,0.06872611240491222,1.0,3152.3669728755435,0.07274693014328178,75.49159067992576,0.13,49.35784530639648,1.7064883708953855e+33,-0.1987774521112442,1872714.0
29,128.0,4.886597917363974,1.0,11097.480162555647,0.30265854988788127,117.58053335739086,0.11,36.37997817993164,2.777788162231445e+33,0.13615553081035614,1256978.25
30,133.0,1.2831066201361776,3.0,47638.73674175046,0.9527747348350093,77.67368187024074,0.15,52.26879501342773,2.5589869022369383e+33,0.24670234322547915,2260193.0
31,140.0,0.4117718403192038,1.0,8070.1426109476615,0.20175356527369154,94.99403305627486,0.12,42.27428436279297,1.4876027107238773e+33,0.2884766459465027,1184820.0
32,143.0,1.6141047643611512,1.0,16.24166162323645,0.00040604154058091125,72.47783391641941,0.12,48.397377014160156,1.4516056776046752e+33,0.0472320392727852,1226797.375
33,149.0,1.7680178237970732,1.0,1610.1431222694725,0.057505111509624014,71.63981394229783,0.084,40.728294372558594,2.5698661804199217e+33,-0.16219845414161682,2324535.25
34,151.0,2.1012860540213487,2.0,16694.427410268032,0.35773773022002925,110.29003309476865,0.14,42.376949310302734,1.7122027873992918e+33,0.05623038485646248,2101720.5
35,157.0,1.5107642305536095,2.0,40274.736375661145,0.7107306419234319,238.2138213782921,0.17,31.774211883544922,1.9052774906158452e+33,-0.2660494148731232,1232850.875
36,166.0,0.10011584863967415,1.0,3305.8487588513126,0.11399478478797631,48.2194875050897,0.087,50.52218627929688,1.9837161302566532e+33,0.24887752532958984,1806362.5
37,168.0,0.2254849576513142,2.0,13044.532725272516,0.4119326123770269,106.34392254348494,0.095,35.54997253417969,1.7621058225631716e+33,0.19037760794162756,1313546.75
38,178.0,3.7822711545913386,1.0,180.7784923938338,0.003389596732384384,99.17011854729412,0.16,47.77529525756836,1.502708077430725e+33,0.23238445818424225,2166952.5
39,182.0,0.0590444219367391,2.0,21417.631291250185,0.584117217034096,139.91548310982182,0.11,33.350109100341804,1.832433700561524e+33,0.17951568961143494,5463261.5
40,187.0,0.06870693682304549,1.0,4516.969050459258,0.14415858671678483,76.88348742741816,0.094,41.58926010131836,1.9815690517425533e+33,0.08991596847772597,1701163.0
41,193.0,0.6994847814416607,1.0,25864.8379099094,0.5968808748440632,166.7464407721821,0.13,33.210636138916016,2.5703926086425776e+33,0.1851633042097092,1328091.125
42,194.0,0.5053958362975831,1.0,3626.4443713076553,0.15767149440468065,67.3152508525296,0.069,38.0804100036621,2.2392439842224122e+33,0.026649530977010727,2863777.25
43,195.0,1.0419478105633746,2.0,57267.86936039271,1.0737725505073634,169.48011020475747,0.16,36.5455436706543,2.5101261138916014e+33,-0.100947804749012,1716789.5
44,196.0,3.061821652670956,1.0,1523.0861741812448,0.03807715435453112,42.01319077412777,0.12,63.56698226928711,2.6602983474731445e+33,0.4445274472236633,3657238.0
45,200.0,2.373181749687229,4.0,1146.3927236941233,0.03953078357565943,76.07631811743212,0.087,40.22246551513672,1.7802215814590452e+33,0.09543273597955704,2354147.75
46,204.0,0.0556108688966464,1.0,50135.24103185168,0.8355873505308613,149.04100577272496,0.18,41.33492660522461,1.7831504344940184e+33,0.3040258288383484,3979215.75
47,207.0,0.04554016068068068,1.0,1330.4363229246355,0.04157613509139486,56.715168445633964,0.096,48.93502426147461,1.614648938179016e+33,-0.19770348072052,5747595.0
48,215.0,0.22831082661222046,2.0,11861.20916557491,0.32348752269749753,83.79577223966567,0.11,43.0942268371582,2.3055553436279296e+33,0.0969594195485115,2735416.5
49,224.0,0.058494248811012686,1.0,12323.733743910641,0.20539556239851073,232.83909469716167,0.18,33.070602416992195,1.8306133747100836e+33,-0.3480483591556549,1103820.75
50,226.0,3.7109125340914253,1.0,670.469316436524,0.026818772657460972,63.53082275794143,0.07499999999999997,40.866947174072266,1.8228797912597647e+33,-0.10265562683343887,2534021.25
51,227.0,0.04390709604477997,1.0,1647.8752271629792,0.05373506175531454,72.85152885459922,0.092,42.267677307128906,1.5841804742813106e+33,-0.012378347106277944,3692912.0
52,228.0,0.10128853838318286,1.0,6386.490312995562,0.1741770085362426,77.93238786289824,0.11,44.68596649169922,2.406749963760376e+33,-0.010082805529236794,4326473.0
53,239.0,0.45001529894566167,1.0,14.506709528057465,0.000444082944736453,34.54066524977961,0.098,63.35508728027344,1.527537941932678e+33,0.17786920070648193,2421852.25
54,251.0,0.5269851370339306,3.0,33813.3652535483,0.676267305070966,68.89446071567653,0.15,55.49927139282226,2.295404434204101e+33,0.10015903413295746,2788412.75
55,256.0,0.21864136703701176,1.0,10474.70983517454,0.17457849725290903,94.31831683049305,0.18,51.96034622192383,1.4878348112106322e+33,0.11776237189769745,1170400.875
56,258.0,0.7678846374473339,2.0,124.91232429091491,0.002081872071515249,92.67233239789984,0.18,52.41975784301758,1.9997627735137936e+33,-0.14541971683502194,1758214.625
57,259.0,1.4796738579287736,2.0,15763.472633685918,0.6390597013656456,71.84900576320237,0.07399999999999997,38.17150497436523,2.1351790428161615e+33,0.297448992729187,2311944.0
58,278.0,0.28361987689410884,1.0,16005.3355847895,0.4365091523124409,80.28506108785548,0.11,44.02635955810547,1.965270757675171e+33,0.2315541356801987,3639423.25
59,280.0,0.061461984078404405,1.0,8365.304178047787,0.179256518101024,85.29313249391029,0.14,48.188209533691406,1.8506919145584102e+33,0.1769002079963684,1417389.625
60,282.0,1.776860052445221,1.0,1704.534426661388,0.055582644347653955,91.87436245995964,0.092,37.638347625732415,1.4146870374679565e+33,0.056138362735509865,2727311.5
61,283.0,3.4798657443371597,2.0,15686.495279193692,0.2614415879865616,103.20417359830002,0.18,49.673118591308594,2.599677562713623e+33,-0.13138823211193085,1142155.125
62,285.0,0.042144605504341695,1.0,14469.587233409056,0.36173968083522645,114.55257495722988,0.12,38.49656677246094,1.496196985244751e+33,0.12363646179437635,2998146.5
63,292.0,0.11623282323038844,1.0,40439.53859386132,1.1028965071053087,96.6494351597627,0.11,40.126426696777344,2.5787324905395503e+33,0.4423908591270447,6254381.5
64,296.0,1.8302340891027824,1.0,6433.609501335632,0.27972215223198393,61.9836541787926,0.069,39.684394836425774,2.2245695590972897e+33,0.2212882339954376,3272715.5
65,301.0,0.08957493053283952,1.0,11990.534448296472,0.2997633612074118,110.32018651636356,0.12,39.22806930541992,2.2638223171234132e+33,-0.21245023608207705,4545562.5
66,305.0,0.22888852425460812,2.0,33689.07232220422,0.6316701060413291,102.3185354108112,0.16,47.0345115661621,2.6918492317199706e+33,-0.061314616352319724,3405873.5
67,309.0,0.04857733644100529,1.0,890.8465512553998,0.024295815034238177,100.41013370671251,0.11,39.367820739746094,1.6689897775650024e+33,0.18907584249973292,7050604.0
68,315.0,3.9159134409844376,1.0,530.5237169509141,0.03386321597559027,34.579936084216364,0.047,43.85010528564453,1.9754130840301515e+33,0.3882571756839752,1452125.75
69,328.0,0.3639747159839089,1.0,1043.7852284930352,0.020875704569860706,113.07151728907702,0.15,43.321434020996094,2.577059268951416e+33,0.2296699434518814,5048122.5
70,336.0,0.7616701063639175,2.0,4463.78346129011,0.16134157089000395,71.30177607484096,0.083,40.58099365234375,2.7126736640930175e+33,0.08531533181667328,4037794.5
71,339.0,0.1258235502160131,1.0,52.855299245961106,0.0018437895085800387,71.5626413635382,0.086,41.23251724243164,2.68205714225769e+33,-0.046511460095644004,3286599.25
72,344.0,0.22448766326535546,1.0,32544.634518821076,0.5743170797439013,106.01501594023114,0.17,47.62934112548828,1.7631886005401607e+33,0.15936905145645142,3737499.75
73,345.0,0.984978700538116,3.0,249.7776904243651,0.005764100548254579,100.21641728819687,0.13,42.83867645263672,1.7312228679656982e+33,-0.056479524821043015,3180933.0
74,359.0,0.09204430701448772,1.0,2355.153959039734,0.06423147161017458,146.53932945415468,0.11,32.587650299072266,2.295198202133179e+33,-0.06475979089736937,2402370.0
75,362.0,3.2926729064693347,1.0,16244.572702575115,0.27074287837625194,125.82694269197523,0.18,44.98660659790039,1.6309547424316402e+33,0.26301807165145874,2039346.25
76,364.0,0.32441926940078336,2.0,3554.900064758627,0.19749444804214591,44.921057552978446,0.054000000000000006,41.23876953125,2.731689691543579e+33,0.16177386045455933,4711904.5
77,365.0,0.04797465340508082,1.0,6634.040380486342,0.15309323954968482,73.68062788373763,0.13,49.96073532104492,1.4964224100112916e+33,0.3659539818763733,1944710.375
78,369.0,0.2490611342322752,1.0,26044.209273326316,0.5208841854665264,128.6638094873507,0.15,40.6117057800293,2.4429132938385007e+33,-0.05179762467741966,3802449.75
79,384.0,1.7027664174754122,2.0,17201.642990452052,0.3035584057138597,116.67025082630406,0.17,45.40233612060546,1.9956732988357543e+33,-0.09946271777153017,1323237.0
80,387.0,0.3841401911070617,3.0,3315.908941741764,0.09043388022932085,66.19328150607714,0.11,48.48676300048828,2.0254855155944825e+33,0.06480557471513748,4482305.0
81,394.0,0.07776865345012715,2.0,46305.97564395441,0.7717662607325735,168.62315058391826,0.18,38.86077499389648,1.8123321533203124e+33,0.29786908626556396,4793900.5
82,395.0,0.5287606869786694,1.0,25830.598684265035,0.5166119736853008,71.06626944762633,0.15,54.6446533203125,2.6298067569732664e+33,0.06981708109378815,3464588.5
83,401.0,0.6518513710522214,1.0,38926.044497313575,0.8341295249424338,129.84114037082702,0.14,39.05635070800781,2.720630168914795e+33,0.3527522385120392,1869792.5
84,407.0,1.0133918896283678,2.0,29945.707155400596,0.5614820091637612,132.2038892627935,0.16,41.37820816040039,2.729941129684448e+33,0.11297629028558732,1228614.5
85,415.0,0.17105446092420235,1.0,6494.744587966186,0.14987872126075813,63.439544408736964,0.13,53.842529296875,2.05964469909668e+33,0.2353229820728302,1283650.125
86,421.0,0.39040582578927474,2.0,40981.372414304824,0.8196274482860965,65.31862012610493,0.15,56.99817276000977,2.241948127746582e+33,0.26530057191848755,3125141.75
87,423.0,0.09087257537026357,2.0,11541.15036372158,0.2885287590930395,73.92255421475541,0.12,47.92211151123047,1.617092132568359e+33,0.13350965082645416,3319864.25
88,424.0,0.0731780431806806,1.0,1431.6832899601363,0.022605525630949523,182.7699741865881,0.19,38.349365234375,2.0451984405517572e+33,-0.1969895213842392,1564584.125
89,427.0,3.2221817981201766,1.0,2066.5542480973445,0.05166385620243361,50.26218768039528,0.12,58.11707305908203,2.2161600589752197e+33,0.12931390106678006,2888687.0
90,428.0,0.04258803343205042,1.0,53.58695796630173,0.0030332240358284,45.44834498619483,0.053,40.617454528808594,1.4606196880340576e+33,0.2753526270389557,5824295.5
91,430.0,0.2341707194593123,1.0,2640.4158033321974,0.04169077584208732,105.5222419923184,0.19,50.47061538696289,1.891507029533386e+33,0.35390058159828186,4840930.5
92,440.0,2.5017659298099892,2.0,10476.51526378545,0.209530305275709,85.30646711189884,0.15,49.87563705444336,2.5752522945404052e+33,-0.2454306036233902,1996555.0
93,441.0,1.4045978884245622,2.0,3893.2816860371768,0.13904577450132774,60.97448170384363,0.084,44.1468162536621,1.403240442276001e+33,0.17577408254146576,2136791.5
94,442.0,0.1282138959260618,1.0,17.13114485801283,0.000901639203053307,34.3181884878042,0.057,48.474021911621094,2.7070481777191164e+33,0.061899352818727486,9637529.0
95,448.0,0.09404260855574174,1.0,372.5129522653412,0.011175388567960236,76.05750774300715,0.1,43.12834167480469,1.8928360939025886e+33,0.2800891399383545,6457765.5
96,464.0,0.3978828370072631,1.0,14990.816097806528,0.37477040244516324,58.42476610005385,0.12,53.90461349487305,2.110091924667358e+33,0.17854548990726474,4174682.75
97,472.0,0.6830737426759409,3.0,19880.817933614668,0.7185837807330603,131.48226295478554,0.083,29.884037017822266,2.217705965042114e+33,0.14025747776031494,2144441.75
98,474.0,0.07775167320534596,1.0,1678.2591559051034,0.04195647889762759,85.50292954166609,0.12,44.55884552001953,2.053673505783081e+33,0.15010063350200653,5770129.5
99,487.0,0.04506576757907186,1.0,492.9511907552103,0.03606959932355198,27.30580679232107,0.040999999999999995,46.0890998840332,1.6048595905303955e+33,0.2454463541507721,3850235.75
100,490.0,0.9185760101231559,2.0,256.6607861714246,0.0051332157234284925,139.52165959644336,0.15,38.99946212768555,2.5167021751403808e+33,-0.16437485814094546,3841056.5
101,493.0,0.6234719427852952,2.0,23207.332636665447,0.43513748693747717,106.13163610076693,0.16,46.18185424804688,1.7306859493255613e+33,0.18279328942298886,2378897.0
102,508.0,0.0651360979626252,1.0,746.3286878381766,0.015992757596532358,86.36178665322012,0.14,47.889137268066406,1.930181622505188e+33,0.18761612474918365,6986163.0
103,510.0,0.07030823802873493,2.0,10399.931009878883,0.3999973465338032,63.589149819210554,0.078,41.65715408325195,1.944948434829712e+33,0.3444836735725403,6172799.0
104,513.0,1.43974677515504,3.0,25801.94911908516,0.7036895214295952,148.23655121662858,0.11,32.400558471679695,1.656784415245056e+33,0.34256747364997864,1095997.25
105,514.0,0.1284616243197053,1.0,1099.9248763376518,0.027498121908441298,74.58257961714959,0.12,47.7095947265625,2.711551189422608e+33,0.2861536741256713,1500013.5
106,515.0,1.5950975569283523,1.0,2968.7833169150053,0.05937566633830011,123.7338600614826,0.15,41.4128532409668,1.8439980745315556e+33,-0.08585948497056961,1105559.0
107,519.0,4.5275127275448375,1.0,90.57590301003367,0.002921803322904312,146.79548210747132,0.093,29.93773460388184,2.4634790420532225e+33,0.20839864015579224,3593604.5
108,520.0,1.9058896225043604,1.0,6852.348260519408,0.23360278160861625,114.867258201306,0.08799999999999998,32.92130279541016,2.3600437641143805e+33,0.056131411343812936,1406000.875
109,532.0,0.08152804405182798,1.0,8535.197155438405,0.19696608820242473,54.21496280252062,0.13,58.24328994750977,2.158964157104492e+33,-0.1089569330215454,4509588.0
110,534.0,0.5868724214031179,1.0,1171.6578418106465,0.0524622914243573,41.532003671499346,0.067,47.77269744873047,1.7311731576919556e+33,0.2502436041831971,1282363.125
111,535.0,0.11543210560778093,1.0,22.024531000354106,0.0005506132750088526,89.34168412879644,0.12,43.5910530090332,2.568361282348633e+33,0.11471833288669585,8669700.0
112,536.0,0.5128210980119092,1.0,12.082796240776215,0.00024165592481552434,64.47273211252572,0.15,57.37086486816406,1.727891445159912e+33,-0.16470462083816528,1298784.75
113,540.0,0.04725285667354031,1.0,2172.3108911985046,0.03833489807997361,95.29402037443232,0.17,50.23720169067383,1.6436482667922974e+33,-0.19934843480587008,4248087.0
114,551.0,0.09045643936330937,1.0,97.30539197324114,0.005838323518394468,37.34353006534183,0.05,43.5222282409668,2.27365517616272e+33,0.16470359265804296,7285697.5
115,552.0,0.7026902922347008,1.0,7468.541213088265,0.18671353032720664,90.75794960413107,0.12,43.24959945678711,2.193549871444702e+33,0.042258650064468384,3744317.75
116,555.0,0.0964045239325504,1.0,7915.933781873739,0.3253123472002907,64.82807002504818,0.07299999999999998,39.91293716430664,2.3472640514373773e+33,0.03414374589920044,7003600.5
117,565.0,3.7172091882124505,1.0,8342.427830878361,0.1317225446980794,150.3533244369268,0.19,42.28186035156249,2.7373504638671876e+33,-0.12262586504220965,2447877.5
118,576.0,0.3516805763593227,2.0,13658.173953857346,0.70645727347538,57.85070670684797,0.057999999999999996,37.66114044189453,2.1858668327331535e+33,0.3945172429084777,4765215.0
119,580.0,0.940255174421708,1.0,2614.5948845585244,0.06536487211396311,74.87124286497254,0.12,47.61753463745117,1.4521360397338865e+33,-0.10705967992544174,1207847.75
120,582.0,4.334413315247995,1.0,473.98433547042094,0.010156807188651877,161.01831441874612,0.14,35.071971893310554,2.3180336952209468e+33,-0.029483111575245857,2544854.0
121,588.0,0.03976530242131405,1.0,92.20787546742153,0.0023051968866855386,171.12407464584282,0.12,31.49697685241699,1.510508894920349e+33,0.028244294226169583,5007655.0
122,589.0,1.1793116578476872,1.0,31684.009489321215,0.5280668248220203,177.1842164680389,0.18,37.91032791137695,1.5231155157089233e+33,0.4610868096351624,1513317.75
123,595.0,0.11261678816471786,1.0,71.69205400482781,0.002312646903381542,126.962389072678,0.093,32.19124221801757,2.537140130996704e+33,-0.3413292467594147,2957654.0
124,600.0,3.5277695557543973,1.0,417.55063576401847,0.008351012715280371,79.67952556733555,0.15,51.60669708251953,2.778236150741577e+33,-0.12817023694515228,1893640.375
125,601.0,3.456024778721342,2.0,6408.784550722656,0.1602196137680664,65.01146651961612,0.12,51.10100555419922,2.1510779857635496e+33,0.24482087790966034,2014959.125
